Kanda/Books,Sarga/Chapters,Shloka/Verse,English_translation
Bala,1,1,ascetic Valmiki inquired Naarada ' engaged deeply austerity study Vedas best eloquent eminent sages ' follows
Bala,1,2," person present world virtuous vigorous conscientious 
	 mindful good deeds speaker truth determined deed"
Bala,1,3," appropriate disposition interested welfare beings 
	 adept able uniquely pleasant look"
Bala,1,4," self composed controlled ire brilliant non jealous 
	 gods fear provoked war"
Bala,1,5," wish listen oh Great Sage competent know kind man 
 inquisitiveness immense"" Valmiki enquired Narada"
Bala,1,6,"listening words Valmiki Narada knower worlds said"" let 
 heard"" beckoning Sage Valmiki listen attentively spoke words gladly"
Bala,1,7," Oh Sage Valmiki merits extolled unattainable having known Brahma man merits speak Let heard"" Narada started"
Bala,1,8," emerged Ikshvaku dynasty known people Rama controlled self 
 highly valorous resplendent steadfast controller vice vile senses"
Bala,1,9," wise moralist eloquent glorious destroyer enemies arms lengthy 
 lines neck cheekbones high"
Bala,1,10," lion chested concealed collarbones knee length arms long bow enemy subjugator 
 emperor countenance crowning head ample forehead gait majestic like lion"
Bala,1,11," built proportionately physically limbs poised symmetrically sinew chested wide eyed complexioned 
 charmingly prosperous auspicious features"
Bala,1,12," knower rectitude bidden truth concern welfare subjects 
 proficient prudence clean conduct self controlled attentive"
Bala,1,13," equals Lord Vishnu Lord creatures Sustainer Universe Sri Lakshmi shriimaan = lakShmiivaan Eliminator enemies 
  Protector world living creatures complete Guardian probity"
Bala,1,14," preserver righteousness champion adherent welfare 
 righteousness scholar essence Veda s ancillaries expert 
 indhanurVeda Art Archery"
Bala,1,15," knower meaning essence scriptures excellent memory brilliant 
 dear worlds gentle level headed clear headed discriminating distinguishing"
Bala,1,16," Like ocean reached rivers reverential accessible 
 reachable clean minded ones treats equally feast eye"
Bala,1,17," betters happiness mother Kausalya embodiment noble merits profundity 
 like unfathomable ocean fortitude unalterable like kingly Himalayan mountain"
Bala,1,18," valour Rama comparable Vishnu looks attractive like moon equals 
 earth forgiveness matchable world ending fire wrath benevolence 
 identical Kubera God Wealth candour like Dharma 
 Truth personified rival"
Bala,1,19," Lord land King Dasaratha intent good people affectionately desired endow regent hood Rama 
 eldest dear son Dasaratha possessed merits true valour best qualities 
 concerned welfare people [1 1 29b 20 21a"
Bala,1,21," seeing arrangements anointment Rama crown prince Kaikeyi dear wife 
 queen Dasaratha solicited boons accorded Dasharatha 
 banishment Rama anointment Bharata boons"
Bala,1,23," Bound true plighted word noose righteousness king Dasharatha 
		 exiled dear son Rama forests"
Bala,1,24," warrior Rama went forest pleasing Kaikeyi 
 directed father follow father word honour"
Bala,1,25," Rama going exile Lakshmana endowed humbleness augmentor mother Sumitra joy loving 
 dear brother Rama followed affection showing brotherly fraternity.[1 1 25 26a"
Bala,1,26," Seetha daughter law Dasaratha Rama beloved wife equalling Rama life disposed born family Janaka 
	 fashioned Divine marvel endowed good characteristics best women followed Rama forest like Rohini following Moon"
Bala,1,28," citizens Ayodhya father Dasaratha followed virtuous Rama 
 distance started exile Later Rama reached tribal chief named Guha liked 
 Rama bank River Ganga town called Sringaberapura Guha 
 Lakshmana Seetha left charioteer"
Bala,1,30," trio Seetha Rama Lakshmana going forest forest crossing river waters 
 ordainment Bharadwaja arrived Chitrakuta building handsome cottage lived happily delightfully 
 woods like gods gandharvas"
Bala,1,32," Rama going Chitrakuta King Dasharatha tormented grief son went heavens 
 weeping son"
Bala,1,33," Dasharatha dying Bharata appointed kingship Sage Vashishta Brahmanas highly mighty desire kingdom 
	 warrior Bharata went forest propitiate venerable Rama"
Bala,1,35," Bharata possessed worthy way thinking going Rama begged brother Rama great souled 
	 truly courageous Bharata spoke words manner Rama"" knower probity king"" "
Bala,1,36, Rama benevolent gracious highly famed great prowess Rama desire kingdom father injunction
Bala,1,37," repeatedly turning Bharata elder brother Rama gave wooden shoes Bharata entrusting represent 
 sake kingdom"
Bala,1,38," Bharata desire unfulfilled ruled kingdom Nandigrama touching Rama sandals representing feet Rama 
 expectation Rama arrival"
Bala,1,39," departure Bharata splendid Rama truth bound self controlled anticipated repeated 
 visits citizens people undisturbed Rama entered Dandaka forests"
Bala,1,41," lotus eyed Rama entering vast Dandaka forest killed demon Viraadha 
 beheld Sage Sharabhanga Sage Suteekhsna Sage Agastya likewise Sage Agastya 
 brother"
Bala,1,42," Sage Agastya word Rama great delight received Agastya Indra bow sword quivers replenishing 
  arrows"
Bala,1,43," Rama stay forest sages forest dwellers 
 approached elimination ogres demons"
Bala,1,44," agreed supplication sages dwelling forest demons promise Rama sages equalled 
 fire living Dandaka forest killing demons combat"
Bala,1,46," Rama living Dandaka forest guise changing demoness named Shuurpa nakha 
 resident Janasthana portion Dandaka forest disfigured"
Bala,1,47," battle Rama killed demons zealously active incited Suurphanakha words 
 including demons Khara Trishira Duushana foot followers"
Bala,1,48, Rama stay forest fourteen thousand demon inhabitants Janasthana slain
Bala,1,49," hearing slaughter kinsmen Ravana convulsed anger sought help 
		 demon named Maareecha"
Bala,1,50," Maareecha restrained Ravana telling times ' Oh Ravana Rivarly formidable 
 Rama appropriate "
Bala,1,51," disregarding Maareecha words impelled fate Ravana advanced 
 place Rama hermitage Maareecha"
Bala,1,52, taking away Rama Lakshmana distance trickster Maareecha Ravana stole Rama wife killing Jatayu
Bala,1,53," Raghava seeing smitten Jatayu hearing Seetha abduction wailed disturbed senses 
 seething anguish"
Bala,1,54," Rama cremated vulture Jataayu state anguish searching Seetha forest 
 saw demon named Kabandha deformed looks terrible appearance"
Bala,1,56," Rama great arms slaying Kabandha cremated Kabandha obtanined heaven going heaven spoke Rama 
 ' Oh Raghava proceed Sabari lady righteous conduct expert probity devotee "
Bala,1,57, great resplendent Rama son Dasaratha anhillator enemies approached Sabari thoroughly honoured
Bala,1,58," Rama united Vanara Hanuma banks Lake Pampa word Hanuma Rama met 
	 Sugreeva"
Bala,1,59," highly powerful Rama detailed beginning happened particular abduction Seetha Sugriva 
 Hanuma"
Bala,1,60, Vanara Sugreeva listening talk Rama friendship Rama delightedly sacred fire witness
Bala,1,61," affection incident related regard Sugreeva enemity Vali  
 entirety Vanara King grief Rama"
Bala,1,62, solemn promise Rama regards killing Vali regard Vanara Sugreeva described Vali strength
Bala,1,63," Sugreeva remained doubtful respect Raghava Raghava prowess Sugreeva showed Dundubhi big great mountain like 
 dead body gain confidence Raghava"
Bala,1,65,"Great armed powerful Rama seeing bones Dundubhi smiled big toe foot threw wholly 
 yojana s length"
Bala,1,66," Rama ripped seven massive Sala trees great arrow went 
 trees rent mountain nethermost subterranean earth order 
 create faith mind Sugreeva"
Bala,1,67," great monkey Sugreeva gladdened heart act Rama proceeded cave like Kishkindha Rama 
 confidence Rama strength"
Bala,1,68, best monkey Sugreeva golden hue roaring sound loud sound king monkeys Vali emerged
Bala,1,69, Tara permitting Vali met Sugreeva combat Rama killed Vali single arrow
Bala,1,70, Raghava killing Vali combat Sugreeva plea installed Sugreeva king Vanaras
Bala,1,71, best monkeys Sugreeva summoning Vanaras dispatched different directions behold daughter Janaka
Bala,1,72," strong Hanuma word vulture Sampati elder brother Jatayu flew salty ocean 
  yojanas breadth"
Bala,1,73, reaching city Lanka ruled Ravana Hanuma saw Seetha situated Ashoka gardens meditating Rama
Bala,1,74," delivering Seetha mark identification form ring Rama communicating 
  Rama disposition consoling Vaidehi Hanuma destroyed welcome arch Ashoka gardens"
Bala,1,75, killing army chiefs seven minister sons crushing valiant Aksha Hanuma got state captivity
Bala,1,76," Knowing free captivity weapon according Brahma boon valiant great monkey Hanuma 
 enduring demons self tied tail ropes intention burning burning city Lanka 
  leaving fire Seetha Mithila got convey pleasant news Rama"
Bala,1,78," Approaching great Rama peforming circumambulation Rama Hanuma having inestimable intelligence 
 submitted essence ' Seen Seetha "
Bala,1,79," Rama Sugreeva monkeys went shore Great Ocean Ocean god turmoil arrows 
 comparable Sun"
Bala,1,80, Ocean god revealed word Nala built bridge ocean
Bala,1,81, Rama having gone city Lanka bridge killing Ravana battle experienced great shame getting Seetha
Bala,1,82," Rama spoke harshly Seetha assembly people devoted husband Seetha intolerant 
  harsh words Rama entered burning fire"
Bala,1,83," word Fire god having known Seetha sinless Rama extremely glad 
 Worshipped gods resplendent accomplishment great Raghava worlds mobile immobile 
 beings groups gods sages exultant"
Bala,1,85," Enthroning Vibheeshana chieftain demons Lanka deed 
 Rama rejoiced highly free distress"
Bala,1,86," obtaining boon gods Rama   raised monkeys death travelled Ayodhya Pushpaka aircraft 
 surrounded good hearted ones"
Bala,1,87, Rama true valour going sage Bharadwaja hermitage sent Hanuma presence Bharata
Bala,1,88," having boarded Pushpaka aircraft leaving hermitage Bharadwaja narrating past history 
  Sugreeva events days exile forests flying overhead 
 places Rama went Nandigrama"
Bala,1,89," sinless Rama rejoining brothers village Nandigrama removed matted hair 
 regaining Seetha discarding hermit role 
 householder regained kingdom"
Bala,1,90," Rama ruling world highly rejoiced happy satisfied abundant 
 righteous wholesome disease free free fear famine"" Narada 
 foreseeing future telling Valmiki"
Bala,1,91," Rama throne men deaths children lifetime 
 ladies remain husband devouted unwidowed lifetime"
Bala,1,92," kingdom Rama fear subjects wildfires gale storms diseases 
 fear hunger thieves cattle drowned floodwaters"
Bala,1,93," Cities states replete wealth grains likewise subjects highly glad 
 like Krita yuga"
Bala,1,94," Like wise highly illustrious Rama having performed hundreds horse rituals having donated plentiful gold crores 
 cows wealth counted Brahmanas scholars according custom"
Bala,1,96," world Raghava establish kingly dynasties hundredfold maintaining 
 caste system positing duty caste bound provincial kingdom bound 
 duty order achieve perfect social harmony"
Bala,1,97," Having served kingdom thousand years thousand years i.e. total 
 thousand years Rama abode Brahma"
Bala,1,98," Ramayana holy sin eradicating merit endowing conformable teachings Vedas 
 reads Legend Rama verily liberated sins"
Bala,1,99," Ramayana long life giving narrative reading human blessed sons grandsons enjoying worldly 
 comforts attendants adored heaven demise"
Bala,1,100," reading Ramayana person Brahmana obtains excellency speech Kshatriya obtains land lordship Vaisya 
 attains profit trade Sudra attains excellence"" Sage Narada gave gist Ramayana 
 Sage poet Valmiki"
Bala,2,1,"great sage Valmiki skilled orator virtue minded having heard words Narada 
		 worshipped disciples"
Bala,2,2,"divine sage Narada worshipped befittingly Valmiki way seeking 
 permission Valmiki leave having permitted Valmiki went away heaven ward"
Bala,2,3,Narada going world gods trice sage Valmiki went banks Tamasa river far Jahnavi river
Bala,2,4,sage Valmiki reaching shore clean Tamasa beholding ford river spoke disciple
Bala,2,5, Oh Bharadwaja behold ford dirt clear waters pleasant like virtuous man mind
Bala,2,6," dear Let hand vessel kept Let bark garment given enter best 
 ford Tamasa"
